SampleName,FileName,line,resistance,timepoint
IDT0362,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0362/abundance.tsv,198_5/1,res,2d
IDT0289,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0289/abundance.tsv,198_5/6,sus,2d
IDT0294,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0294/abundance.tsv,198_5/6,sus,2d
IDT0351,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0351/abundance.tsv,198_5/6,sus,2d
IDT0291,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0291/abundance.tsv,262_1/3,sus,2d
IDT0318,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0318/abundance.tsv,262_1/3,sus,2d
IDT0363,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0363/abundance.tsv,262_1/3,sus,2d
IDT0337,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0337/abundance.tsv,262_1/8,res,2d
IDT0342,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0342/abundance.tsv,262_1/8,res,2d
IDT0349,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0349/abundance.tsv,262_1/8,res,2d
IDT0307,C:\Users\SepidehJafarian/Desktop/oat.project/kallisto_mapping/WTCHG_964264_IDT0307/abundance.tsv,198_5/1,res,0h
